,label(proba_1>=0.100000),proba_0,proba_1
sp|A0A0H3GGY3|PGPH_LISM4 Cyclic-di-AMP phosphodiesterase PgpH OS=Listeria monocytogenes serotype 1/2a (strain 10403S) OX=393133 GN=pgpH PE=1 SV=1,1.0,0.0,1.0
sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP OS=Staphylococcus aureus (strain N315) OX=158879 GN=tarP PE=1 SV=1,1.0,0.75,0.25
sp|A0A0H3JPC6|TARS_STAAM Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarS OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) OX=158878 GN=tarS PE=1 SV=1,1.0,0.75,0.25
sp|A0A0H3JUU7|MURT_STAAN Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT OS=Staphylococcus aureus (strain N315) OX=158879 GN=murT PE=1 SV=1,1.0,0.125,0.875
sp|A0A0H3KB22|QUEE_BURM1 7-carboxy-7-deazaguanine synthase OS=Burkholderia multivorans (strain ATCC 17616 / 249) OX=395019 GN=queE PE=1 SV=1,1.0,0.9,0.1
sp|A0A0J5ZXG5|PYCC_BURCE Uridylate cyclase OS=Burkholderia cepacia OX=292 GN=pycC PE=1 SV=1,1.0,0.75,0.25
sp|A0A0K0JFP3|HXK_BRUMA Hexokinase OS=Brugia malayi OX=6279 GN=Bm4678 PE=1 SV=1,1.0,0.1,0.9
sp|A0A0K3AUE4|SEA2_CAEEL Signal element on autosome protein 2 OS=Caenorhabditis elegans OX=6239 GN=sea-2 PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A0K3AV08|MLK1_CAEEL Mitogen-activated protein kinase kinase kinase mlk-1 OS=Caenorhabditis elegans OX=6239 GN=mlk-1 PE=1 SV=1,1.0,0.38461538461538464,0.6153846153846154
sp|A0A0K8P8E7|MHETH_IDESA Mono(2-hydroxyethyl) terephthalate hydrolase OS=Ideonella sakaiensis (strain NBRC 110686 / TISTR 2288 / 201-F6) OX=1547922 GN=ISF6_0224 PE=1 SV=1,1.0,0.5,0.5
sp|A0A0L7KF24|FCLN_PLAFX Falcilysin OS=Plasmodium falciparum (isolate HB3) OX=137071 GN=FLN PE=1 SV=1,1.0,0.125,0.875
sp|A0A0P0VIP0|LRSK7_ORYSJ L-type lectin-domain containing receptor kinase S.7 OS=Oryza sativa subsp. japonica OX=39947 GN=LECRKS7 PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A0P0X9Z7|CWZF7_ORYSJ Cysteine-tryptophan domain-containing zinc finger protein 7 OS=Oryza sativa subsp. japonica OX=39947 GN=CWZF7 PE=1 SV=2,1.0,0.75,0.25
sp|A0A0P0XII1|CERK1_ORYSJ Chitin elicitor receptor kinase 1 OS=Oryza sativa subsp. japonica OX=39947 GN=CERK1 PE=1 SV=1,1.0,0.75,0.25
sp|A0A0P0ZBS7|MENC_GEOSE o-succinylbenzoate synthase OS=Geobacillus stearothermophilus OX=1422 GN=menC PE=1 SV=1,1.0,0.75,0.25
sp|A0A0R4IKJ1|CAPAM_DANRE mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase OS=Danio rerio OX=7955 GN=pcif1 PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A0R4IMY7|TRPM2_DANRE Transient receptor potential cation channel subfamily M member 2 OS=Danio rerio OX=7955 GN=trpm2 PE=1 SV=2,1.0,0.0,1.0
sp|A0A0R6Y3I5|G5K_LEIDO Glutamate 5-kinase OS=Leishmania donovani OX=5661 GN=G5K PE=1 SV=1,1.0,0.75,0.25
sp|A0A126GUP6|MP1_DROME Melanization protease 1 OS=Drosophila melanogaster OX=7227 GN=MP1 PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A140N5J7|KDSC_ECOBD 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=kdsC PE=1 SV=1,1.0,0.75,0.25
sp|A0A1B0GTW7|CIROP_HUMAN Ciliated left-right organizer metallopeptidase OS=Homo sapiens OX=9606 GN=CIROP PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A1C3NSL9|AJM1_CAEEL Apical junction molecule OS=Caenorhabditis elegans OX=6239 GN=ajm-1 PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A1D5NS60|ZN16L_DANRE Zinc finger protein 16-like OS=Danio rerio OX=7955 GN=znf16l PE=1 SV=1,1.0,0.1,0.9
sp|A0A1D5NSK0|CIROP_DANRE Ciliated left-right organizer metallopeptidase OS=Danio rerio OX=7955 GN=cirop PE=1 SV=2,1.0,0.6875,0.3125
"sp|A0A1D6K6U5|CPPS2_MAIZE Ent-copalyl diphosphate synthase 2, chloroplastic OS=Zea mays OX=4577 GN=CPPS2 PE=1 SV=2",1.0,0.9,0.1
"sp|A0A1D6LTV0|TPS26_MAIZE Alpha-terpineol synthase, chloroplastic OS=Zea mays OX=4577 GN=TPS26 PE=1 SV=1",1.0,0.6875,0.3125
sp|A0A1E1FFL0|PRHA_PENBI Multifunctional dioxygenase prhA OS=Penicillium brasilianum OX=104259 GN=prhA PE=1 SV=1,1.0,0.0,1.0
sp|A0A1F4|EYS_DROME Protein eyes shut OS=Drosophila melanogaster OX=7227 GN=eys PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A1L4BJ46|HEMI1_HEMLE Phospholipase A2 hemilipin OS=Hemiscorpius lepturus OX=520031 PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A1L4BJ98|DTPLD_HEMLE Dermonecrotic toxin Hl-PLD1 OS=Hemiscorpius lepturus OX=520031 PE=1 SV=1,0.0,1.0,0.0
"sp|A0A1L6Z3A0|TPS8_PSEAD Pseudolaratriene synthase, chloroplastic OS=Pseudolarix amabilis OX=3355 GN=TPS8 PE=1 SV=1",1.0,0.125,0.875
sp|A0A1L8G2K9|SPRTN_XENLA DNA-dependent metalloprotease SPRTN OS=Xenopus laevis OX=8355 GN=sprtn PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A1L8HU22|NEIL3_XENLA Endonuclease 8-like 3 OS=Xenopus laevis OX=8355 GN=neil3 PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A1P8AUY4|MDN1_ARATH Midasin OS=Arabidopsis thaliana OX=3702 GN=MDN1 PE=1 SV=1,1.0,0.6875,0.3125
"sp|A0A1S4BDC4|MPO1_TOBAC N-methylputrescine oxidase 1, peroxisomal OS=Nicotiana tabacum OX=4097 GN=MPO1 PE=1 SV=1",1.0,0.6875,0.3125
"sp|A0A1S6M251|B4GT5_PIG Beta-1,4-galactosyltransferase 5 OS=Sus scrofa OX=9823 GN=B4GALT5 PE=1 SV=2",1.0,0.75,0.25
sp|A0A1V0E4A6|TPS2_PIPNI Terpene synthase 2 OS=Piper nigrum OX=13216 GN=TPS2 PE=1 SV=1,1.0,0.38461538461538464,0.6153846153846154
sp|A0A291NUG3|STING_PTEPA Stimulator of interferon genes protein OS=Pteronotus parnellii OX=59476 GN=STING1 PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A2K3D5Z7|CMD1_CHLRE 5-methylcytosine-modifying enzyme 1 OS=Chlamydomonas reinhardtii OX=3055 GN=CMD1 PE=1 SV=1,1.0,0.75,0.25
"sp|A0A2K3DZC4|BSD2_CHLRE Protein BUNDLE SHEATH DEFECTIVE 2, chloroplastic OS=Chlamydomonas reinhardtii OX=3055 GN=BSD2 PE=1 SV=1",1.0,0.1,0.9
sp|A0A2S3R7M0|MARTX_VIBVL Multifunctional-autoprocessing repeats-in-toxin OS=Vibrio vulnificus OX=672 GN=CRN52_02910 PE=1 SV=1,1.0,0.5,0.5
"sp|A0A386CAB9|NLRP1_DANRE NACHT, LRR and PYD domains-containing protein 1 homolog OS=Danio rerio OX=7955 GN=nlrp1 PE=1 SV=1",1.0,0.125,0.875
sp|A0A386KZ50|DABA_PSEMU Magnesium-dependent glutamate N-prenyltransferase OS=Pseudo-nitzschia multiseries OX=37319 GN=dabA PE=1 SV=1,1.0,0.75,0.25
sp|A0A396JG59|EX70I_MEDTR Exocyst complex component EXO70I OS=Medicago truncatula OX=3880 GN=EX70I PE=1 SV=1,1.0,0.6875,0.3125
sp|A0A3Q0NBH7|PGDA_LISMG Peptidoglycan-N-acetylglucosamine deacetylase PgdA OS=Listeria monocytogenes serotype 1/2a (strain EGD / Mackaness) OX=1334565 GN=pgdA PE=1 SV=1,1.0,0.125,0.875
sp|A0A5K1K8H0|CDPK5_PLAF7 Calcium-dependent protein kinase 5 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=CDPK5 PE=1 SV=1,1.0,0.125,0.875
sp|A0A5S9I252|TATC6_HYPAT Terpene cyclase 6 OS=Hypocrea atroviridis OX=63577 GN=tatc6 PE=1 SV=1,1.0,0.75,0.25
sp|A0AVI4|TM129_HUMAN E3 ubiquitin-protein ligase TM129 OS=Homo sapiens OX=9606 GN=TMEM129 PE=1 SV=1,1.0,0.6875,0.3125
sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1,1.0,0.75,0.25
sp|A0FGR9|ESYT3_HUMAN Extended synaptotagmin-3 OS=Homo sapiens OX=9606 GN=ESYT3 PE=1 SV=1,1.0,0.6875,0.3125
"sp|A0FKE6|TD1_SOLLC Threonine dehydratase 1 biosynthetic, chloroplastic OS=Solanum lycopersicum OX=4081 GN=TD1 PE=1 SV=1",1.0,0.5,0.5
sp|A0JPQ4|TRI72_RAT Tripartite motif-containing protein 72 OS=Rattus norvegicus OX=10116 GN=Trim72 PE=1 SV=1,1.0,0.1,0.9
sp|A0MGZ7|H6S3B_DANRE Heparan-sulfate 6-O-sulfotransferase 3-B OS=Danio rerio OX=7955 GN=hs6st3b PE=1 SV=1,1.0,0.75,0.25
sp|A0NLY7|ISAHY_ROSAI Isatin hydrolase OS=Roseibium aggregatum (strain ATCC 25650 / DSM 13394 / JCM 20685 / NBRC 16684 / NCIMB 2208 / IAM 12614 / B1) OX=384765 GN=SIAM614_09648 PE=1 SV=1,1.0,0.75,0.25
sp|A0Q5Y3|CAS9_FRATN CRISPR-associated endonuclease Cas9 OS=Francisella tularensis subsp. novicida (strain U112) OX=401614 GN=cas9 PE=1 SV=1,1.0,0.125,0.875
sp|A0QP27|MMPL3_MYCS2 Trehalose monomycolate exporter MmpL3 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=mmpL3 PE=1 SV=1,1.0,0.75,0.25
sp|A0QQJ4|FGD_MYCS2 F420-dependent glucose-6-phosphate dehydrogenase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=fgd PE=1 SV=2,1.0,0.75,0.25
sp|A0QUA1|MBTM_MYCS2 Medium/long-chain-fatty-acid--[acyl-carrier-protein] ligase MbtM OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=mbtM PE=1 SV=1,1.0,0.6875,0.3125
sp|A0QUZ2|MUTT1_MYCS2 8-oxo-(d)GTP phosphatase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=mutT1 PE=1 SV=1,1.0,0.75,0.25
sp|A0QX20|ACNA_MYCS2 Aconitate hydratase A OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=acnA PE=1 SV=1,1.0,0.75,0.25
sp|A0QXD8|ELTD_MYCS2 Erythritol/L-threitol dehydrogenase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=eltD PE=1 SV=1,1.0,0.6875,0.3125
sp|A0R066|ILVE_MYCS2 Branched-chain-amino-acid aminotransferase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=ilvE PE=1 SV=1,1.0,0.9,0.1
sp|A0R2N3|NDP_MYCS2 NAD-dependent protein deacylase Sir2 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=sir2 PE=1 SV=1,1.0,0.75,0.25
sp|A0R3F9|PAT_MYCS2 Acetyltransferase Pat OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=MSMEG_5458 PE=1 SV=1,1.0,0.75,0.25
sp|A0R3R7|LIGD_MYCS2 Multifunctional non-homologous end joining protein LigD OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=ligD PE=1 SV=2,1.0,0.75,0.25
sp|A0R4Q6|CP142_MYCS2 Steroid C26-monooxygenase OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=cyp142 PE=1 SV=1,1.0,0.6875,0.3125
sp|A0R5D9|TOP1_MYCS2 DNA topoisomerase 1 OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=topA PE=1 SV=1,1.0,0.5,0.5
sp|A0R6D0|NFNB_MYCS2 Nitroreductase NfnB OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=nfnB PE=1 SV=1,1.0,0.9,0.1
sp|A1A4K5|ENPP2_BOVIN Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 OS=Bos taurus OX=9913 GN=ENPP2 PE=1 SV=1,1.0,0.38461538461538464,0.6153846153846154
sp|A1A6H3|RBSK_ARATH Ribokinase OS=Arabidopsis thaliana OX=3702 GN=RBSK PE=1 SV=1,1.0,0.0,1.0
"sp|A1A6M1|PTAC5_ARATH Protein disulfide isomerase pTAC5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PTAC5 PE=1 SV=1",1.0,0.6875,0.3125
sp|A1B198|HPBD_PARDP 4-hydroxyproline betaine 2-epimerase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=hpbD PE=1 SV=1,1.0,0.38461538461538464,0.6153846153846154
sp|A1B8Z0|BHCD_PARDP Iminosuccinate reductase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=bhcD PE=1 SV=1,1.0,0.6875,0.3125
sp|A1B8Z1|BHCC_PARDP 3-hydroxy-D-aspartate aldolase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=bhcC PE=1 SV=1,1.0,0.75,0.25
sp|A1IHE6|ACMA_GORST Acetone monooxygenase (methyl acetate-forming) OS=Gordonia sp. (strain TY-5) OX=235467 GN=acmA PE=1 SV=1,1.0,0.75,0.25
sp|A1L0T0|HACL2_HUMAN 2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2,1.0,0.75,0.25
sp|A1TFU9|HPXO_MYCVP FAD-dependent urate hydroxylase OS=Mycolicibacterium vanbaalenii (strain DSM 7251 / JCM 13017 / BCRC 16820 / KCTC 9966 / NRRL B-24157 / PYR-1) OX=350058 GN=hpxO PE=1 SV=1,1.0,0.75,0.25
sp|A1X283|SPD2B_HUMAN SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3,1.0,0.6875,0.3125
sp|A1Z6W3|PRIC1_DROME Protein prickle OS=Drosophila melanogaster OX=7227 GN=pk PE=1 SV=1,1.0,0.38461538461538464,0.6153846153846154
"sp|A1Z7A6|ASAP_DROME ArfGAP with SH3 domain, ANK repeat and PH domain-containing protein OS=Drosophila melanogaster OX=7227 GN=Asap PE=1 SV=1",1.0,0.38461538461538464,0.6153846153846154
sp|A1Z7K9|PAN2_DROME PAN2-PAN3 deadenylation complex catalytic subunit PAN2 OS=Drosophila melanogaster OX=7227 GN=PAN2 PE=1 SV=1,1.0,0.5,0.5
sp|A1Z7T0|PKN_DROME Serine/threonine-protein kinase N OS=Drosophila melanogaster OX=7227 GN=Pkn PE=1 SV=1,1.0,0.125,0.875
sp|A1Z877|NDG_DROME Nidogen OS=Drosophila melanogaster OX=7227 GN=Ndg PE=1 SV=1,1.0,0.6875,0.3125
sp|A1Z9L3|DHX8_DROME ATP-dependent RNA helicase DHX8 OS=Drosophila melanogaster OX=7227 GN=pea PE=1 SV=1,1.0,0.6875,0.3125
sp|A1Z9X0|APKC_DROME Atypical protein kinase C OS=Drosophila melanogaster OX=7227 GN=aPKC PE=1 SV=1,1.0,0.75,0.25
sp|A1ZA47|ZASP_DROME PDZ and LIM domain protein Zasp OS=Drosophila melanogaster OX=7227 GN=Zasp52 PE=1 SV=2,1.0,0.6875,0.3125
sp|A1ZAJ2|KIF1A_DROME Kinesin-like protein unc-104 OS=Drosophila melanogaster OX=7227 GN=unc-104 PE=1 SV=1,1.0,0.6875,0.3125
sp|A1ZBD6|MCTP_DROME Multiple C2 and transmembrane domain-containing protein OS=Drosophila melanogaster OX=7227 GN=Mctp PE=1 SV=3,1.0,0.9,0.1
sp|A2A825|CPLN2_MOUSE Ciliogenesis and planar polarity effector 2 OS=Mus musculus OX=10090 GN=Cplane2 PE=1 SV=1,1.0,0.75,0.25
sp|A2A8L5|PTPRF_MOUSE Receptor-type tyrosine-protein phosphatase F OS=Mus musculus OX=10090 GN=Ptprf PE=1 SV=1,1.0,0.6875,0.3125
sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=3,1.0,0.6875,0.3125
"sp|A2AIR5|NMD3A_MOUSE Glutamate receptor ionotropic, NMDA 3A OS=Mus musculus OX=10090 GN=Grin3a PE=1 SV=1",1.0,0.75,0.25
sp|A2AIV8|CARD9_MOUSE Caspase recruitment domain-containing protein 9 OS=Mus musculus OX=10090 GN=Card9 PE=1 SV=1,1.0,0.6875,0.3125
sp|A2AJ76|HMCN2_MOUSE Hemicentin-2 OS=Mus musculus OX=10090 GN=Hmcn2 PE=1 SV=1,1.0,0.6875,0.3125
sp|A2APC3|TTLL9_MOUSE Probable tubulin polyglutamylase TTLL9 OS=Mus musculus OX=10090 GN=Ttll9 PE=1 SV=2,1.0,0.75,0.25
sp|A2APX8|SCN1A_MOUSE Sodium channel protein type 1 subunit alpha OS=Mus musculus OX=10090 GN=Scn1a PE=1 SV=1,1.0,0.125,0.875
sp|A2ARV4|LRP2_MOUSE Low-density lipoprotein receptor-related protein 2 OS=Mus musculus OX=10090 GN=Lrp2 PE=1 SV=1,1.0,0.1,0.9
sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,1.0,0.0,1.0
sp|A2AWT3|AT7L3_MOUSE Ataxin-7-like protein 3 OS=Mus musculus OX=10090 GN=Atxn7l3 PE=1 SV=1,1.0,0.38461538461538464,0.6153846153846154
sp|A2BIL7|BAZ1B_DANRE Tyrosine-protein kinase BAZ1B OS=Danio rerio OX=7955 GN=baz1b PE=1 SV=2,1.0,0.6875,0.3125
sp|A2CEI6|PIWL2_DANRE Piwi-like protein 2 OS=Danio rerio OX=7955 GN=piwil2 PE=1 SV=2,1.0,0.6875,0.3125
sp|A2PYH4|HFM1_HUMAN Probable ATP-dependent DNA helicase HFM1 OS=Homo sapiens OX=9606 GN=HFM1 PE=1 SV=2,1.0,0.6875,0.3125
sp|A2PZA5|FC1_PHOAM Fusicoccadiene synthase OS=Phomopsis amygdali OX=1214568 GN=PaFS PE=1 SV=1,1.0,0.6875,0.3125
sp|A2QTW5|BPHA_ASPNC Benzoate 4-monooxygenase bphA OS=Aspergillus niger (strain CBS 513.88 / FGSC A1513) OX=425011 GN=bphA PE=1 SV=1,1.0,0.75,0.25
sp|A2R2V4|OTASE_ASPNC Ochratoxinase OS=Aspergillus niger (strain CBS 513.88 / FGSC A1513) OX=425011 GN=Am2 PE=1 SV=1,1.0,0.75,0.25
"sp|A2RTX5|SYTC2_HUMAN Threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS3 PE=1 SV=1",1.0,0.75,0.25
sp|A2RUC4|TYW5_HUMAN tRNA wybutosine-synthesizing protein 5 OS=Homo sapiens OX=9606 GN=TYW5 PE=1 SV=1,1.0,0.1,0.9
sp|A2T3P0|NSP2_ROTSH Non-structural protein 2 OS=Rotavirus A (isolate RVA/Monkey/South Africa/SA11-H96/1958/G3P5B[2]) OX=450149 PE=1 SV=1,1.0,0.125,0.875
sp|A2T3P5|VP7_ROTSH Outer capsid glycoprotein VP7 OS=Rotavirus A (isolate RVA/Monkey/South Africa/SA11-H96/1958/G3P5B[2]) OX=450149 PE=1 SV=1,1.0,0.125,0.875
sp|A2T3Q9|NSP5_ROTSH Non-structural protein 5 OS=Rotavirus A (isolate RVA/Monkey/South Africa/SA11-H96/1958/G3P5B[2]) OX=450149 PE=1 SV=1,1.0,0.75,0.25
sp|A2T3S5|VP3_ROTSH Protein VP3 OS=Rotavirus A (isolate RVA/Monkey/South Africa/SA11-H96/1958/G3P5B[2]) OX=450149 PE=1 SV=1,1.0,0.35714285714285715,0.6428571428571429
"sp|A2XDA1|PDS_ORYSI 15-cis-phytoene desaturase, chloroplastic/chromoplastic OS=Oryza sativa subsp. indica OX=39946 GN=PDS1 PE=1 SV=2",1.0,0.75,0.25
sp|A2XFC1|TOP6A_ORYSI DNA topoisomerase 6 subunit A3 OS=Oryza sativa subsp. indica OX=39946 GN=TOP6A3 PE=1 SV=2,0.0,1.0,0.0
"sp|A3DH67|GUNS_ACET2 Cellulose 1,4-beta-cellobiosidase (reducing end) CelS OS=Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) OX=203119 GN=celS PE=1 SV=1",1.0,0.75,0.25
sp|A3DIJ8|3PASE_ACET2 Inorganic triphosphatase OS=Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) OX=203119 GN=Cthe_2577 PE=1 SV=1,1.0,0.75,0.25
sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2,1.0,0.5,0.5
sp|A3MTK6|CAS4_PYRCJ CRISPR-associated exonuclease Cas4 OS=Pyrobaculum calidifontis (strain DSM 21063 / JCM 11548 / VA1) OX=410359 GN=cas4 PE=1 SV=1,1.0,0.9,0.1
sp|A3MTW6|THIL_PYRCJ Thiamine-monophosphate kinase OS=Pyrobaculum calidifontis (strain DSM 21063 / JCM 11548 / VA1) OX=410359 GN=thiL PE=1 SV=1,1.0,0.6875,0.3125
sp|A3MUY9|DHE2_PYRCJ NAD(+)-dependent glutamate dehydrogenase OS=Pyrobaculum calidifontis (strain DSM 21063 / JCM 11548 / VA1) OX=410359 GN=Pcal_1031 PE=1 SV=1,1.0,0.9,0.1
sp|A4D1E9|GTPBA_HUMAN GTP-binding protein 10 OS=Homo sapiens OX=9606 GN=GTPBP10 PE=1 SV=1,1.0,0.125,0.875
sp|A4D2B0|MBLC1_HUMAN Metallo-beta-lactamase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MBLAC1 PE=1 SV=1,1.0,0.75,0.25
sp|A4F2N8|LTHAD_PSESP L-threo-3-hydroxyaspartate ammonia-lyase OS=Pseudomonas sp OX=306 GN=thadh PE=1 SV=1,1.0,0.125,0.875
sp|A4GNA8|PSD3_ARATH Phosphatidylserine decarboxylase proenzyme 3 OS=Arabidopsis thaliana OX=3702 GN=PSD3 PE=1 SV=1,0.0,1.0,0.0
sp|A4KZ49|POLG_TRMVU Genome polyprotein OS=Triticum mosaic virus (isolate Triticum aestivum/United States/U06-123/2006) OX=1289472 PE=1 SV=3,1.0,0.38461538461538464,0.6153846153846154
sp|A4Q9E5|TTLL3_MOUSE Tubulin monoglycylase TTLL3 OS=Mus musculus OX=10090 GN=Ttll3 PE=1 SV=1,1.0,0.6875,0.3125
sp|A4Q9F0|TTLL7_MOUSE Tubulin polyglutamylase TTLL7 OS=Mus musculus OX=10090 GN=Ttll7 PE=1 SV=1,1.0,0.38461538461538464,0.6153846153846154
sp|A4Q9F1|TTLL8_MOUSE Protein monoglycylase TTLL8 OS=Mus musculus OX=10090 GN=Ttll8 PE=1 SV=1,1.0,0.75,0.25
sp|A4Q9F3|TTL10_MOUSE Protein polyglycylase TTLL10 OS=Mus musculus OX=10090 GN=Ttll10 PE=1 SV=1,1.0,0.6875,0.3125
sp|A4QUT2|KATG2_MAGO7 Catalase-peroxidase 2 OS=Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) OX=242507 GN=KATG2 PE=1 SV=1,1.0,0.75,0.25
sp|A4VFY3|AKECT_PSEU5 Aspartate kinase Ask_Ect OS=Pseudomonas stutzeri (strain A1501) OX=379731 GN=ask PE=1 SV=2,1.0,0.38461538461538464,0.6153846153846154
sp|A4YDR9|HBCL2_METS5 4-hydroxybutyrate--CoA ligase 2 OS=Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2) OX=399549 GN=Msed_0394 PE=1 SV=1,1.0,0.38461538461538464,0.6153846153846154
